,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
355,nuclear envelope disassembly (GO:0051081),GO:0051081,cellular process,cellular component organization or biogenesis,cellular component organization,cellular component disassembly,nuclear membrane organization,,,
356,nitrogen compound transport (GO:0071705),GO:0071705,localization,establishment of localization,transport,,,,,
357,regulation of calcium ion-dependent exocytosis (GO:0017158),GO:0017158,biological regulation,regulation of biological process,regulation of localization,regulation of secretion by cell,regulation of secretion,regulation of regulated secretory pathway,,
358,negative regulation of smooth muscle cell migration (GO:0014912),GO:0014912,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell motility,regulation of cell migration,regulation of smooth muscle cell migration,,
359,activation of protein kinase A activity (GO:0034199),GO:0034199,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of kinase activity,regulation of protein modification process,regulation of protein phosphorylation,activation of protein kinase activity
360,negative regulation of DNA recombination (GO:0045910),GO:0045910,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of macromolecule metabolic process,negative regulation of DNA metabolic process,,
361,positive regulation of nitrogen compound metabolic process (GO:0051173),GO:0051173,biological regulation,regulation of biological process,positive regulation of biological process,regulation of nitrogen compound metabolic process,,,,
362,negative regulation of receptor-mediated endocytosis (GO:0048261),GO:0048261,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of transport,regulation of endocytosis,regulation of receptor-mediated endocytosis,,
363,cellular respiration (GO:0045333),GO:0045333,cellular process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,,,,
364,negative regulation of cell cycle G1/S phase transition (GO:1902807),GO:1902807,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell cycle,regulation of cell cycle process,regulation of cell cycle phase transition,negative regulation of cell cycle phase transition,
365,positive regulation of developmental growth (GO:0048639),GO:0048639,biological regulation,regulation of biological process,positive regulation of biological process,regulation of developmental growth,,,,
366,regulation of fatty acid metabolic process (GO:0019217),GO:0019217,biological regulation,regulation of biological process,regulation of metabolic process,regulation of small molecule metabolic process,regulation of lipid metabolic process,,,
367,bicarbonate transport (GO:0015701),GO:0015701,localization,establishment of localization,transport,organic substance transport,organic anion transport,,,
368,regulation of establishment of protein localization (GO:0070201),GO:0070201,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of protein localization,,,
369,response to axon injury (GO:0048678),GO:0048678,response to stimulus,response to stress,response to wounding,,,,,
370,regulation of ventricular cardiac muscle cell membrane repolarization (GO:0060307),GO:0060307,biological regulation,regulation of biological process,regulation of membrane repolarization,regulation of cardiac muscle cell membrane repolarization,,,,
371,energy reserve metabolic process (GO:0006112),GO:0006112,cellular process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,,,,
372,aminoglycan biosynthetic process (GO:0006023),GO:0006023,metabolic process,biosynthetic process,organonitrogen compound metabolic process,macromolecule biosynthetic process,,,,
373,cellular response to growth hormone stimulus (GO:0071378),GO:0071378,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to peptide hormone,response to growth hormone,,,
374,regulation of protein localization to cell cortex (GO:1904776),GO:1904776,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of protein localization,regulation of protein localization to cell periphery,,
375,cell morphogenesis involved in neuron differentiation (GO:0048667),GO:0048667,developmental process,anatomical structure morphogenesis,cell morphogenesis,cell morphogenesis involved in differentiation,,,,
376,oligosaccharide-lipid intermediate biosynthetic process (GO:0006490),GO:0006490,cellular process,biosynthetic process,carbohydrate derivative metabolic process,carbohydrate derivative biosynthetic process,,,,
377,Fc receptor mediated stimulatory signaling pathway (GO:0002431),GO:0002431,cellular process,activation of immune response,positive regulation of biological process,immune response-regulating cell surface receptor signaling pathway,positive regulation of immune response,,,
